"Texto","Target"
" yes severity agree give fuck numbers say fact remains film crew breaks film shut recovered like go movie theater see something 25 year old movie ","non-sexist"
" proud work today ","non-sexist"
" posted instagram 2013so nothing yay ","non-sexist"
" men feminists terf red flag just fyi ","ideological-inequality"
" whooooo million happens y'all get hella happy like fam y'all need chill man hilarious url literally damn damn url literally aplus student life get problems house lol ","non-sexist"
" koonye west canceled fuck shuckin n jivin sunken place white womens whore also listening family business ","objectification"
" child hit coming field sodomize coach maybe that'll teach chill ","non-sexist"
" baby boy get tease dom says rubbing cock watches baby squirm restraints sorry daddy please just let cum dom just grabs baby's throat looks eyes says think ","non-sexist"
" seen one doujin got gangbanged tho ","non-sexist"
" ivey look better nigga ever fucked wit ya life lbr like ugly niggas control know one niggas make nigga hide bitch like always assume shit ","misogyny-non-sexual-violence"
" gold digger ","stereotyping-dominance"
" pulls combat skirt panties cock hit pussy oh tease kitten ","sexual-violence"
" just wait years lobbist feminazi will pass laws allowing killing us ","ideological-inequality"
" y'all believe told ya went extra length learn make boobs bigger editsーthe mun girl stays true ideals ","objectification"
" oh skippy going women refuse sex unless want baby incels going fuck wait get fucked now nothing will change still punitive stupid law serves purpose ","objectification"
" oh thx sharing beautiful little lady's journey peace blessings carry spirit w always ","non-sexist"
" influx people refer gender critical radical feminists aware people part hate group radical right wing evangelicals finance break lgbtqia unity goal legalize conversion therapy ","ideological-inequality"
" ladies hot good geoguessr wilbur like men yes find attractive ","non-sexist"
" lady boss social intimate x interactive business event real inspiration essential lessons valuable advice women entrepreneurs today's lady boss allowing authentic connections cultivated collaborations join wait list ","non-sexist"
" quoting news report pompeo tweet pakistan marketing hindus christian women aa concubines ","stereotyping-dominance"
" nice day remind capable responding quickly comes important things just like recent issue happened 18 female passengers extremely airway employees ","sexual-violence"
" believe judge ag violate sworn oath office rule politics rather law seriously women men decide evidence shouting pols suppose others lie unwarranted bet know ","non-sexist"
" problem also women muslim women feminist gloria steinem convinced incorporate feminism beliefs forgetting opposites ","ideological-inequality"
" like literally fault ugly amp im sorry masculine child want ","non-sexist"
" call sexist never seen girl eat whole large dominos pizza ","stereotyping-dominance"
" actually like nothing better want see moment realises comparing rape cheating comparing happens bts actually care take u want see brain becomes less smooth 1 2 ","non-sexist"
" goal hrt stimulate hormone levels cis woman far structures mentioned cis women cis women features well excluded ","non-sexist"
" fellas participate just ladies non binary people wanna get clowned ","ideological-inequality"
" look pathetic little bitch now want say im weak slut daddy amy end 40 knees dont care last 40 bitch purpose life erve medeal now end like good little pig ","sexual-violence"
" give shit chrissy teigen someone paid care like woman ","non-sexist"
" thankful setting bar low anti patriarchy feminazi sweden bitching usa death penalty like greta thuneberg ","ideological-inequality"
" absolute tosh article kind idiot writes 21st century imagine asked man ","ideological-inequality"
" forget clean weapons ladies last thing need misfire life death situation clean piece ","non-sexist"
" soon men spot fashion trend artist literally anything women happen really enjoy label ‘basi try hardest make women feel embarrassed liking enjoying said thing hm ","stereotyping-dominance"
" feminists like see things similarly outside workforce concept men hunters women prey seems gall miss point said good woman feel empowered sexy ","ideological-inequality"
" go get m kick ass ","non-sexist"
" netflix cast white woman latina character literally excited realized majority whole cast white ","non-sexist"
" attention dirty whore naughty mood dm want see uncencored ","sexual-violence"
" dang 17 pound ","non-sexist"
" woman mpowered hersel using men climb social ladder ","ideological-inequality"
" republican trophy wife ","objectification"
" different women easily taken advantage forced something boys age willing participants age dream teenagers ","non-sexist"
" manspreading bros ","non-sexist"
" man talking woman shut fuck heard enough mansplaining ","ideological-inequality"
" performative allowed way voice displeasure manner relatively safe harmless hurt suck pale comparison large scale institutional slights ","ideological-inequality"
" women today u workdo house got officewhat car driveooh pc ","stereotyping-dominance"
" glad just saw ","non-sexist"
" thirsty means thirsty asic human expressio basically saying women live literal opposite day everyday ","non-sexist"
" oh face hillary clinton skank just hill corrupt crime ridden career politician subhuman ","misogyny-non-sexual-violence"
" muslim teen meets dalit girl ‘pizza outin lands jail anti conversion law ","non-sexist"
" hate women gt t never talked woman ","misogyny-non-sexual-violence"
" fat kid stole pencil ","non-sexist"
" thing ugly billionaire cute ","non-sexist"
" tweet systemic racism pulled apply meant talking bad experiences men patriarchy amp guy came amp pulled ","non-sexist"
" note now ever gang sort real girl gang however image based sports women realize much perception participation sport individual exercised dominated sexist perceptions ","ideological-inequality"
" conservative youtube just using different words purple haired septum ring 16 year old feminazi gets owned facts feminist thinks movies sexist videos like 10 years straight understand still profitable ","ideological-inequality"
" just read high court judgement forget personal attacks feminism transphobia judges made clear conclusions lack evidence use pbs avoiding puberty altogether experimental read tavi's research showed pb restricted growth concealed forced ","non-sexist"
" send dick anyone likes dms ","sexual-violence"
" bullshit spent many many days townships throughout sa seventies many successful african business woman men millionaires driving around flashy cars residing huge houses regarding land partly correct ","non-sexist"
" women outdatedfemboys replaced ","misogyny-non-sexual-violence"
" okay know old news take wsj dr biden op ed need call dr lived less sexist society young woman amazing differently people treat find attorney ","ideological-inequality"
" undoubtedly strong woman knows takes winner day 1 absolutely classy knows speak just week boss whole season bigg boss 14 ","non-sexist"
" mova mad like lady please calm u heart attack shit even serious just wanna angry ","non-sexist"
" fucking skank ","misogyny-non-sexual-violence"
" short skirt ","objectification"
" fashion mogul peter nygard indicted sex trafficking charges mr nygard arrested canada request u s authorities federal indictment new york city accused recruiting dozens women teenage girls sex ","sexual-violence"
" hi many muslim woman empowered hijab wearing hijab act liberation feel empowered hijab disrespect countless hijabs hashtag context seems problematic ","non-sexist"
" women just deserve onlyfans bitches ugly fuck ask pay 20 see ugly fat blotched titties bitch ","objectification"
" cut crouch send message like lady ","stereotyping-dominance"
" lola bitch loyal ","misogyny-non-sexual-violence"
" thank fuck must car's faults silly cunt ","non-sexist"
" ripped latex use ","sexual-violence"
" people will claim misandry real ok geniuses one pussy option cyberpunk 2077 ","ideological-inequality"
" first time donated political campaign three fact mad good people run willing help support 2 women 1 man 2 republicans 1 democrat done felt good getting involved ","non-sexist"
" feminist think rapists therefore sensible naked drunk frat party expect raped every time say else expect one implying men presumed rapists ","ideological-inequality"
" maybe brexit goes tits uk go back old days export wheat barely stuff ","non-sexist"
" trump sodomize wife find way defend ","misogyny-non-sexual-violence"
" cuffs going slapped wrists slovenian trophy wife will abandon someone impotent broke ","misogyny-non-sexual-violence"
" just wanna trophy wife trust fund baby since second one happening im gonna work towards first goal ","stereotyping-dominance"
" wrong victims feminismfeminism ideology based nothing hatred men boys special status women things ","ideological-inequality"
" make slutbag ","misogyny-non-sexual-violence"
" problem go logical person said situation guy justifies sexual harassment demented anyway just easier choose peace turn dms understand now wanting someone else ","non-sexist"
" ain't sayin gold digger just saying gold diggerrrr ","stereotyping-dominance"
" give care gives back 10 times give honesty give power power choice woman feels empowered limit good will receive ","non-sexist"
" women live patriarchal society filled misogyny therefore women feminists brainless sound ","ideological-inequality"
" dwight ignorant slut ","stereotyping-dominance"
" call sexist pig looks plastic ","objectification"
" women think men enjoying sucking breast lol truth men enjoy make feel wen enjoy sounds moaning y'all make wen makes us feel like real men u know takes real man satisfy woman right ","sexual-violence"
" feel good shit right now even lie thing make better moms red velvet foine ass black man ","non-sexist"
" men plastic surgery take steroids unnatural men go call sexist come back actually formulate original thought rehashed leftist garb sound goofy af ","stereotyping-dominance"
" least beat team pregnant ","non-sexist"
" 4 years ago dey import kelewele sef abidjan today woman junction sees says bra b3gye kalawele ","non-sexist"
" go women simply unfair bleed month ","non-sexist"
" mines got taking one date short skirt sexy high heels seducing panty barely hides lovely d turn gets hard let hard d gi away punishment reward ","objectification"
" according study egyptian center women's rights ecwr help several ngos increasement 50 ","non-sexist"
" women stop following men hit women there'll sufficient ones go around single guys ","misogyny-non-sexual-violence"
" necessary show skin soc med called empowered woman ","objectification"
" feminsits call time ur family burden think will sell men amp also call work burden say men working average 10 hours commuting 33 longer women burden damage victim narrative ","ideological-inequality"
" stay safe bbz lt 3 ","non-sexist"
" whole season make enjoy show used enjoy show started pushing agenda men r bad amp women r heros need bs idk maybe misinterpreting best express opinion amp see people similar feeling ","ideological-inequality"
" uk ","non-sexist"
" just settling riding famous cock carousel sad ","objectification"
" male ignorantly mansplaining women's issues woman prerogative tweet misogynistic drivel mine point ","misogyny-non-sexual-violence"
" well also said sex work work create financial security workers creates women coerced beaten raped daily recognize well ","sexual-violence"
" realise vast majority women responsible people sleep around right ","non-sexist"
" past often disgusted women men supporting abortion regard attitude right consequence free sex important kill babies enable ","non-sexist"
" adam trophy wife gonna trophy husband ","objectification"
" finale anniversary today sjsksk normally fancams see merlin twt tl women ","non-sexist"
" u bet bby girl ","non-sexist"
" ladies play advice o ","non-sexist"
" bunch light skin biracial women light eyes arguing black history … kill now ","non-sexist"
" look like trump loving crack whore wtf wrong eyebrows ","objectification"
" non vegans call yogisbuddhistsspiritual environmentalistsactivistsequality activists blm feminists frauds challenge ","ideological-inequality"
" manage look beautiful time love ya ","non-sexist"
" taking photos fat tiddies belly like skinny girls see ","non-sexist"
" non sentient developing human unaware existence entire time womb feel pain third trimester sacrificing health nine months puritan believes abortion murder ","non-sexist"
" like driving people's cars makes think took man hostage actually took woman hostage ","non-sexist"
" federal inaction especially devastating women especially black latinx amp workers color hit hardest crisis immigrant workers cruelly excluded federal relief packages take action ","non-sexist"
" probably ones support equality races movement surprise continued ","non-sexist"
" triggered woke see well feminazi something chew simple thank you get tip man gives decent tip comment wants fuck heart hateful enjoy single life ","ideological-inequality"
" told support feminism one genuity empowers oppressed women one disparage men unnecessarily still misconstrued amp hating ","ideological-inequality"
" situation just one man's fault whole brexit project poison johnson blame whole conservative govt plus tory mps voted plus brexit campaigners like farage plus brexit backers arron banks etc ","non-sexist"
" clubs perspective gone poked fun bantered woman done pundit go achievement fair game equal treatment ","non-sexist"
" ones deserve jason firmly shook mans hands introduced gets job done quick efficiently ","non-sexist"
" sheep need follow man little food matter following slaughter house watch see ","non-sexist"
" feminism cancer happy new year ","ideological-inequality"
" y'all beautiful let wear cloth slit relate woman spank ass ","objectification"
" reminds one time got ass groped grocery store worker started insulting screaming girl sum distant cousin people staying got surprised cuz apparently asking ","sexual-violence"
" wife went ride along serve christmas cookies local sheriff's department tonight work christmas eve figure deserve christmas cheer thank men women uniform get holidays ","non-sexist"
" hate women yawn ","misogyny-non-sexual-violence"
" let ladies know ","non-sexist"
" look like someone uses kitchen ","stereotyping-dominance"
" misogyny 101do thing tell women thing ","non-sexist"
" first one springs mind someone knew high school fit eeeeevil cock carousel riding harpy stereotype even outwardly bit frumpy social outcast mostly feel bad ","objectification"
" choices tier list bit questionable hey opinions one place thorr whole leggy low know gotta stand girl peony bump hel's getting knocked straight bottom ","non-sexist"
" leave black women shit yamhead sht lot ","non-sexist"
" pretty gift wrapped shawls women girls just adorable real life 50 explore shawl today gt ends dec 31 2020 ","non-sexist"
" shiro cant find one edit bgm really funny posts d ick isnt even big pica manspreading shown dammit loved one ","non-sexist"
" love sodomize preform analingus first ","sexual-violence"
" like fuck jt ","non-sexist"
" men lying get sex normalised just part game n women seen stupid falling hypervigilant times rare genuine guy gets denied cuz overly cautious fault giving men chance ","non-sexist"
" facts pound law law pound facts pound table even table time go ","non-sexist"
" women gotta masochist deal future know man care shit yet still ","ideological-inequality"
" gold digger plis ","stereotyping-dominance"
" embarrassment women acted like stereotypical teenage girl today's hearing debunked best ","stereotyping-dominance"
" lmfao crying bet cock block ","sexual-violence"
" obsessed blond girl tho fact ","non-sexist"
" celtic fan ignorant cunt displays ideals polar opposite great club respected throughout world football absolute promotion social justice fuck ","non-sexist"
" 18 give new girl chance make sure worth time get 50 first 30 days 4 38 lot tits ass pussy less coffee ","sexual-violence"
" evel placing fiel lpf used abused endlessly brexit negotiations lpf based equality trade two nations huge surplus trading uk therefore uk never lpf ","non-sexist"
" ultimate cock block ","non-sexist"
" laugh bloke got chance like sleep short mini skirt top far tight running around like flies around turd ","objectification"
" bruh wtf 50 y o people twitter asking guys photos looks like repressed pedo ","non-sexist"
" jesus fuck year sorry ","non-sexist"
" think missing point b1g advanced ohio state largely mattered either way michigan beat still tiebreaker indiana whole rest b1g east ass losses gonna happen ","non-sexist"
" hang coolest barsin v p movie starsevery good gold digger's gonna wind thereevery playboy bunny bleached blond hair wellhey hey wanna rockstarhmm hey hey wanna rockstar ","objectification"
" awful ","non-sexist"
" oh boy hit beat spank c'mon hold back ladies promise bad bad boy married woman 30 yrs without put place ever often playtime ","sexual-violence"
" 1997 block rockin beats2020 cock blockin yeets ","non-sexist"
" seeing 70 year old white woman driving challenger reminded real quick never judge book cover ","non-sexist"
" men compete women's sports anti transgender just common sense ","non-sexist"
" mmm just whore wanting look like just cock filled slut well maybe just keep 24 7 new life just sleeve dick ","sexual-violence"
" blur face make antifa skank famous ","objectification"
" suppose even retards gotten now victim preordered game choice like cdpr stole credit card like work platform go unconditional full refund wtf want ","non-sexist"
" hate ladies men men like ya shit stinks just need tweet every second ya jump throats good bad every circle ya need understand saying bad ones get pass ","ideological-inequality"
" made look cunt tbh called murderer event happened wasnt even born call idiot simply calling idiot thick realise link vile link like tory ","non-sexist"
" got money back 8 months hundreds followups experience maximum extent sitting money ","non-sexist"
" jobs require women wear high heels ","objectification"
" crystal micro studded four claw pendent pendent size 1 1 2 1 cm oh just take look ","non-sexist"
" terf dirty word sexist pricks like want denigrate females justified concerns males safe spaces deem deragotry hence use cancel people like also call bigoted females object sexist abuse fuck ","misogyny-non-sexual-violence"
" beautiful tits ","objectification"
" nsfw r pei hate songs forcing women sex treating like objects normalised shit sick serious issue alongside porn depicting literal r pe will people understand equation women sexual object ok ","objectification"
" even crazier spank grown woman ","misogyny-non-sexual-violence"
" 7 15 angry young lady older woman said alright sorry replied younger woman older woman angry whispered will sorry get room gave younger woman swift spank jeans younger woman jumped ","non-sexist"
" moon looks bright amp close tonight like drive beautiful ","non-sexist"
" hitler moustaches might something also issue feminist thinks women feminist date either way see talking lot feminism either exactly lighting fires ","ideological-inequality"
" album literally introduced feminism queen chimamanda ngozi adichie listening album nostalgic believe came 2014 literally hits hard ","non-sexist"
" ter feminist ter requires sexist diminish women genitals demand lack equality based that— goes feminism fight equality feminism intersectional feminism ","ideological-inequality"
" explaining mom need give credit card spend white man ","non-sexist"
" 4th choose alot girls date dude nothing wrong going tinder bumble sure woman will flock status called options ","objectification"
" violent crime gray area make accusation also want add women 4 life whobsaid makes question someone telling rape story ","ideological-inequality"
" ranking songs every vw album reason best worst vw m79campusmansard roofthe kids stand chancebryna punkoxford commawalcotti stand correctedladies cambridgeonearrows ","non-sexist"
" got accused driving dangerously woman broke collarbone bus cctv shows blue light ambulance nearly crash brake monitoring system amber checked event month ","non-sexist"
" working hard came realization try tell story bitch never walked shoes one never fed silver spoon struggled life fault going blame parents now know try ","non-sexist"
" going go long gold flowing skirt husband told show butt compromised short 2006 herve leger gold mini skirt happy butt days ","objectification"
" wahala us wey get view o ","non-sexist"
" blue cheese skank ","non-sexist"
" besides nu's habit bad penalties turnovers need qb throw ball love martinez young man better hope logan smothers play ","non-sexist"
" lmaooo guys forgot log zoom mom saw george school profile picture dead ass said es tu novio like lmaoo ma'am thats dude bought hoodie ","non-sexist"
" men you chanced upon open house sunday morning find woman cleaning house cooking lunch just welcome home grab chance instant hearth home ","stereotyping-dominance"
" now demanded rubbing oily tits zoey ","sexual-violence"
" moms really teach daughters learn certain things husband learn man rare parent say learn cook amp clean wife ","stereotyping-dominance"
" cause african women complain domestic violence spank ","misogyny-non-sexual-violence"
" want believe good people make eye contact man driving past winks smiles woman passenger seat ma'am throw whole man away ","sexual-violence"
" currently hiatus spring worry ladies comfort darlings ","non-sexist"
" conversation traditional masculinity feminism different people female education women empowered women seen equal men societal standing just happened mostly men men reaped ","ideological-inequality"
" gangbanged wookies ","non-sexist"
" play victim card amp collect sympathy women amp children r front line worriers r paid well drama cold weather u forgot caa protest last year thing happening free biryani 500 ","non-sexist"
" weak ass hell ","non-sexist"
" beautiful girl sorry sleep tight fern xx ","non-sexist"
" girls get mad hit women like literally blocked broke moved away fucked life completely n worried gettinb mom fuckkk outtaaa herre ","misogyny-non-sexual-violence"
" time miss relationship women love shop give cash let damage sit back chill holiday person plus like around bunch people damn ","stereotyping-dominance"
" arguing w grown ass men 21 pretending ro 1 5 attack minors discorld pelase alot m ore interesting sprnet day arguing men ansd nmake ehm leave sevre rs cryikng ","non-sexist"
" fuck good im bad bitch sick mother fuckers tellin live ","non-sexist"
" self righteous anger indignation often found left stems often think huge puritan effort suppress repress deny nasty unconscious desires motivations sooner left admit better ","non-sexist"
" please biggest mistake l ever made even bother women suffered near blindness mirena causes fluid brain go goes damage optic nerves eyes lucky mine caught early coil removed ","non-sexist"
" always wonder mutuals think see us scrapping like muslim incels saying need hit women shit y'all probably think stereotypes stereotypes nejsjsjsvhs ","misogyny-non-sexual-violence"
" wayse tm soo rhi thi na good night bol k ","non-sexist"
" lmaooo see face like fine fine look like ghost ancestor living nightmarebcz poverty runs blood prostitute witch mother suffering hiv stis lmaooo shes mad woman like ","sexual-violence"
" people really think fuck bitch ain't dumb let blonde fool ","non-sexist"
" 1 thing feminism complicated overly marketed word striving equality men women fields 2 women's power comes ability freedom choose appearance freedom men quite simple ","ideological-inequality"
" get fucking bitches begging u get laid get job hug ur family members grow tree im begging ","objectification"
" could've given us fennec spin boba spin cobb vanth spin sorgan spin kuiil spin offyou actually gave us spin character seen enough spin highly likely features woman ounce acting talent ","non-sexist"
" many times women felt sorry lost eye combat anymore lucky women gang go damage ","non-sexist"
" sex work nothing ashamed stop using disparage melania disparage vicious ignorant gold digger complicit husband's criminal activity crimes humanity ","stereotyping-dominance"
" wonder woman pass bechdel test ","non-sexist"
" outside incel type men see least guys know men posting disdain opposite gender misandry somehow ok amongst lot women know mean men blanket statements just ","non-sexist"
" human rights bill sponsored women ends watered hmmmm ","stereotyping-dominance"
